#lineslist	Inci 1215.00A 	C  4 1550.77A 	H  1 4861.32A 	H  1 6562.80A 	C  3 1908.73A 
iteration 3	1.8104e+06	2.6692e+05	3.1203e+04	1.4983e+05	3.3606e+04
iteration 4	3.2194e+06	4.6001e+05	4.8033e+04	2.4250e+05	4.2581e+04
iteration 4	5.7251e+06	2.4539e+05	6.2813e+04	1.9166e+05	3.0113e+03
iteration 4	1.0181e+07	3.2195e+04	4.6672e+04	1.3050e+05	6.7521e+01
iteration 3	1.8104e+07	1.9157e+04	3.5783e+04	9.7880e+04	1.6307e+01
iteration 3	3.2194e+07	1.1589e+04	3.0845e+04	8.3508e+04	3.9739e+00
iteration 3	5.7251e+07	9.1691e+03	2.4933e+04	6.6522e+04	7.9307e-01
iteration 3	1.0181e+08	6.0956e+03	1.7595e+04	4.6060e+04	3.1797e-02
iteration 3	1.8104e+08	6.0506e+01	1.0053e+04	2.6628e+04	4.6040e-05
iteration 3	3.2194e+08	2.6577e+00	4.5134e+03	1.2629e+04	3.4268e-07
iteration 3	5.7251e+08	4.3754e-01	2.3466e+03	6.5013e+03	1.1740e-08
iteration 3	1.0181e+09	1.7310e-01	1.6775e+03	4.6017e+03	0.0000e+00
iteration 3	1.8104e+09	8.1586e-02	1.1861e+03	3.2507e+03	0.0000e+00
iteration 3	3.2194e+09	3.3692e-02	6.9371e+02	1.9152e+03	0.0000e+00
iteration 3	5.7251e+09	8.1407e-03	4.2511e+02	1.1814e+03	0.0000e+00
iteration 3	1.0181e+10	1.7707e-03	3.0639e+02	8.5401e+02	0.0000e+00
iteration 3	1.8104e+10	4.2366e-04	2.5066e+02	6.9832e+02	0.0000e+00
iteration 3	3.2194e+10	1.1277e-04	2.2195e+02	6.1472e+02	0.0000e+00
iteration 3	5.7251e+10	0.0000e+00	2.0578e+02	5.6082e+02	0.0000e+00
iteration 3	1.0181e+11	0.0000e+00	1.9590e+02	5.1763e+02	0.0000e+00
iteration 3	1.8104e+11	0.0000e+00	1.8837e+02	4.7727e+02	0.0000e+00
iteration 3	3.2194e+11	0.0000e+00	1.7925e+02	4.3820e+02	0.0000e+00
iteration 3	5.7251e+11	0.0000e+00	1.6510e+02	4.0139e+02	0.0000e+00
iteration 3	1.0181e+12	0.0000e+00	1.4502e+02	3.6665e+02	0.0000e+00
